"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"124","PWY-6121",3.88306121211762e-07,1.48203502929156e-05,0.674962860011025,-0.962056640087985,-2.32048819546168,5,"ECB_RS11775,ECB_RS12895,ECB_RS20620,ECB_RS12600,ECB_RS12605"
"125","PWY-6122",2.53387723076916e-06,6.44730984273486e-05,0.627256739718528,-0.944734671432499,-2.27870747059341,5,"ECB_RS11775,ECB_RS12895,ECB_RS20620,ECB_RS12600,ECB_RS09625"
"126","PWY-6123",1.43453727686142e-06,4.67842830562757e-05,0.643551836150722,-0.951058564751169,-2.29396075110087,5,"ECB_RS20625,ECB_RS05985,ECB_RS02460,ECB_RS12480,ECB_RS02455"
"127","PWY-6125",0.00035073348929256,0.00349208561078244,0.49849310876659,-0.752831492735699,-2.3505157681243,9,"ECB_RS13360,ECB_RS13355,ECB_RS12700,ECB_RS12645,ECB_RS12650,ECB_RS11385"
"128","PWY-6126",0.000182133574359308,0.00219518886990955,0.518848077743792,-0.765999673121798,-2.39162990313817,9,"ECB_RS13360,ECB_RS05985,ECB_RS13355,ECB_RS12700,ECB_RS11385,ECB_RS02225,ECB_RS21530"
"129","PWY-6147",0.104859335038363,0.174239130434783,0.222056046145248,-0.611599269806867,-1.37084363664789,4,"ECB_RS10975,ECB_RS09710,ECB_RS00735"
"130","PWY-6151",0.0344179299903562,0.080425571099914,0.321775918075361,-0.800088040165492,-1.59830187639481,3,"ECB_RS19625,ECB_RS14650"
"131","PWY-6163",0.161473087818697,0.23110835694051,0.186432558434075,-0.48730924814731,-1.27963975081066,6,"ECB_RS11860,ECB_RS04820,ECB_RS08770,ECB_RS01760"
"132","PWY-6164",0.0146586889638377,0.0414424663298621,0.380730400722792,-0.766080263881253,-1.71709860810459,4,"ECB_RS13150,ECB_RS17145,ECB_RS03770,ECB_RS08835"
"133","PWY-6277",1.47521257218704e-07,6.75647358061663e-06,0.690132458796796,-0.944994499449945,-2.48148897315411,6,"ECB_RS11775,ECB_RS12895,ECB_RS20620,ECB_RS12600,ECB_RS12605,ECB_RS09625"
"134","PWY-6282",0.0237695392596499,0.0611598257355038,0.352487857583619,-0.733296673082211,-1.76871735275688,5,"ECB_RS00925,ECB_RS05780,ECB_RS06730,ECB_RS11830,ECB_RS02325"
"135","PWY-6284",0.0014441194748638,0.00811139320414219,0.45505986738723,-0.748100606298762,-2.08385214056179,7,"ECB_RS00925,ECB_RS05780,ECB_RS05055,ECB_RS06730,ECB_RS05790,ECB_RS11830"
"136","PWY-6387",0.0102461554531001,0.0319751574759033,0.380730400722792,-0.608312689237545,-1.8992943066277,9,"ECB_RS00455,ECB_RS16140,ECB_RS00450,ECB_RS20425,ECB_RS00480,ECB_RS01720,ECB_RS00465,ECB_RS00485,ECB_RS20450"
"137","PWY-6519",0.0572289156626506,0.111512879183476,0.332263053752429,-0.599705583558746,-1.67049425369223,7,"ECB_RS00925,ECB_RS05780,ECB_RS06730,ECB_RS03970,ECB_RS11830,ECB_RS03965"
"138","PWY-6535",0.7225,0.799287439613527,0.0716527366829457,-0.403407529541083,-0.805870078102832,3,"ECB_RS06805,ECB_RS13290,ECB_RS07845"
"139","PWY-6537",0.625,0.708539603960396,0.0791316651768349,-0.434185215718604,-0.867353353816399,3,"ECB_RS06805,ECB_RS13285,ECB_RS13290"
"140","PWY-6608",0.763848396501458,0.829010818951819,0.0435378240914002,0.269815585820256,0.751485590901498,10,"ECB_RS14275,ECB_RS14285,ECB_RS14280,ECB_RS14360,ECB_RS02255"
"141","PWY-6611",0.39,0.485380434782609,0.106323255932708,-0.527342676559494,-1.05345005441372,3,"ECB_RS02240,ECB_RS22710,ECB_RS08405"
"142","PWY-6612",0.0963855421686747,0.162296243798724,0.252961123069611,-0.546068751037288,-1.52108757319803,7,"ECB_RS10975,ECB_RS00270,ECB_RS09710,ECB_RS00735,ECB_RS09410,ECB_RS11790"
"143","PWY-6628",8.64252377637171e-05,0.00116419879105242,0.538434096309916,-0.645420136687239,-2.42893737984519,15,"ECB_RS13150,ECB_RS11860,ECB_RS04820,ECB_RS04920,ECB_RS17145,ECB_RS19305,ECB_RS13140,ECB_RS08770,ECB_RS03770,ECB_RS13145,ECB_RS20885,ECB_RS08835,ECB_RS01760"
"144","PWY-6629",0.00041472983788008,0.00379892531498153,0.49849310876659,-0.599399311016185,-2.25574522582051,15,"ECB_RS13150,ECB_RS11860,ECB_RS06555,ECB_RS06550,ECB_RS04820,ECB_RS17145,ECB_RS06565,ECB_RS08770,ECB_RS03770,ECB_RS08835,ECB_RS01760,ECB_RS06560"
"145","PWY-6690",0.0104722131471299,0.0319751574759033,0.380730400722792,0.66659516691648,1.72900524562342,8,"ECB_RS01590,ECB_RS01595,ECB_RS01600,ECB_RS12810,ECB_RS12800"
"146","PWY-6700",0.0425,0.094824016563147,0.352171384439073,-0.77548777136576,-1.54915896485435,3,"ECB_RS01855,ECB_RS01850,ECB_RS13945"
"147","PWY-6703",0.0625,0.117315573770492,0.287857117255149,-0.745729699758301,-1.48971252983671,3,"ECB_RS10975"
"148","PWY-6708",0.162650602409639,0.231347751253461,0.191892240384838,-0.469325997248968,-1.30731879610051,7,"ECB_RS11770,ECB_RS14485,ECB_RS19760,ECB_RS19720,ECB_RS14480,ECB_RS03280,ECB_RS20815"
"149","PWY-6772",0.00087248839405972,0.00593710810920102,0.477270815362862,0.812706270627063,1.88508665940948,6,"ECB_RS13605,ECB_RS13600,ECB_RS13595,ECB_RS13585,ECB_RS13590,ECB_RS13580"
"150","PWY-6823",0.0920634920634921,0.159266917293233,0.266350657088526,-0.513758943313154,-1.49923904914901,8,"ECB_RS08705,ECB_RS12760,ECB_RS04230,ECB_RS04225,ECB_RS00050,ECB_RS09105,ECB_RS04010,ECB_RS04015"
"151","PWY-6892",0.795522388059702,0.842303301906735,0.0427591434738678,0.295739226818046,0.730382217476837,7,"ECB_RS20555,ECB_RS20540,ECB_RS20545"
