"","pre_lac25_01","pre_lac01_02","pre_lac25_03","pre_lac01_04","pre_lac01_05","pre_lac25_06","pre_lac25_07","pre_lac25_08","pre_lac50_09","pre_lac50_10","pre_lac50_11","pre_lac50_12","pre_lac50_13","pre_lac50_14","pre_lac50_15","pre_lac50_16","pre_lac01_17","pre_lac25_18","pre_lac25_19","pre_lac01_20","pre_lac01_21","pre_lac01_22","pre_lac25_23"
"ECB_RS08750",0,12.4232987773218,0,20.2170522736593,12.7344961683193,0.694336554872717,0,0.638967171903061,8.99185794471697,10.1231881520809,13.9380086190882,5.97342660245537,1.08176894069781,17.4448144113995,10.6129511856491,10.2291363890749,15.6395339238626,8.29210253591836,1.65909232581479,20.7634507449236,24.0010796501536,21.4465323602786,6.58281824278009
"ECB_RS08755",0.498408580651654,13.976211124487,0,18.6618944064548,12.7344961683193,1.38867310974543,0.761492433069165,0,43.0324630211455,15.1847822281213,23.2300143651469,9.5574825639286,2.16353788139562,35.6480990145989,20.4095215108637,25.966269295344,46.9186017715877,7.01639445346938,7.46591546616654,36.1103491216063,21.3342930223587,33.8629458320188,2.46855684104254
"ECB_RS08760",0,1.55291234716522,0,1.55515786720456,0,0,0,0,36.6097073463477,13.7386124921098,30.199018674691,20.3096504483483,3.24530682209343,42.4743307407987,17.1439980691255,28.3268392312844,5.21317797462086,12.7570808244898,7.46591546616654,36.1103491216063,8.00035988338452,34.9917106930861,5.75996596243258
"ECB_RS08765",5.98090296781985,0,4.44676621899995,1.55515786720456,0,1.38867310974543,3.04596973227666,2.55586868761224,23.764195996752,9.4001032840751,17.809677679946,7.16811192294645,3.24530682209343,21.2371653703994,14.6948554878219,11.0159930343884,0,3.82712424734693,4.97727697744436,14.4441396486425,8.00035988338452,18.0602377770767,3.29140912139005
"ECB_RS08770",159.989154389181,15.5291234716522,122.603697180999,4.66547360161369,8.4896641122129,134.701291645307,106.608940629683,93.2892070978469,35.3251562113881,24.5848855121964,40.2653582329214,41.8139862171876,37.8619129244234,43.2328009325987,27.7569492547746,40.1296889109862,10.4263559492417,56.7690096689795,48.1136774486288,25.2772443851244,8.00035988338452,28.2191215266823,44.4340231387656
"ECB_RS08775",3.48886006456158,0,5.08201853599994,7.77578933602282,0,2.77734621949087,2.2844772992075,7.66760606283674,44.3170141561051,23.1387157761849,27.1016834260048,15.530909166384,3.24530682209343,52.3344432341984,22.8586640921673,19.6714161328364,5.21317797462086,8.92995657714285,4.97727697744436,35.2075903935661,21.3342930223587,31.6054161098842,8.22852280347512
"ECB_RS08780",1.99363432260662,3.10582469433044,2.54100926799997,7.77578933602282,0,2.77734621949087,1.52298486613833,3.19483585951531,31.4715028065094,16.6309519641329,21.6813467408038,14.3362238458929,1.08176894069781,31.0972778637991,8.98018946478003,11.8028496797018,5.21317797462086,5.7406863710204,2.48863848872218,25.2772443851244,13.3339331389742,29.3478863877496,2.46855684104254
"ECB_RS08785",5.48249438716819,7.7645617358261,5.08201853599994,37.3237888129095,8.4896641122129,2.77734621949087,3.80746216534583,1.27793434380612,38.536534048787,10.1231881520809,16.2610100556029,32.256503653259,16.2265341104672,37.9235095899989,16.327617208691,23.6056993594037,10.4263559492417,15.3084969893877,14.1022847694257,32.4993142094456,45.3353726725123,27.090356665615,16.4570456069502
"ECB_RS08795",3.48886006456158,0,3.17626158499996,1.55515786720456,4.24483205610645,6.94336554872717,3.04596973227666,1.91690151570918,32.1137783739892,10.8462730200867,23.2300143651469,9.5574825639286,9.7359204662803,27.3049269047992,18.7767597899946,22.8188427140902,5.21317797462086,6.37854041224489,5.80682314035175,18.9579332888433,2.66678662779484,15.8027080549421,4.11426140173756
"ECB_RS08800",5.48249438716819,13.976211124487,4.44676621899995,15.5515786720456,4.24483205610645,7.63770210359989,3.04596973227666,2.55586868761224,30.8292272390296,23.1387157761849,22.4556805529754,8.36279724343752,3.24530682209343,29.5803374801991,17.9603789295601,18.0977028422095,26.0658898731043,8.29210253591836,4.97727697744436,42.4296602178874,18.6675063945639,29.3478863877496,6.58281824278009
